,ID_LIN_TRA,NOMBRE,CIRCUITO,TRAMO,PROPIEDAD,TENSION_KV,LONG_KM,ESTADO,F_OPERACIO,FECH_ACT,PROVINCIA,Latitud,Longitud
74,905.0,NUEVA MAITENCILLO - NUEVA PAN DE AZUCAR,C1 - C2,NUEVA MAITENCILLO - NUEVA PAN DE AZUCAR,INTERCHILE S.A.,500.0,212.39,EN OPERACION,2018-05-31,2023-04-20,HUASCO-ELQUI,-29.338359915999945,-71.11291508499994
75,905.0,NUEVA MAITENCILLO - NUEVA PAN DE AZUCAR,C1 - C2,NUEVA MAITENCILLO - NUEVA PAN DE AZUCAR,INTERCHILE S.A.,500.0,212.39,EN OPERACION,2018-05-31,2023-04-20,HUASCO-ELQUI,-29.333120432999976,-71.10491154499994
76,905.0,NUEVA MAITENCILLO - NUEVA PAN DE AZUCAR,C1 - C2,NUEVA MAITENCILLO - NUEVA PAN DE AZUCAR,INTERCHILE S.A.,500.0,212.39,EN OPERACION,2018-05-31,2023-04-20,HUASCO-ELQUI,-29.332476938999946,-71.10396585799998
77,905.0,NUEVA MAITENCILLO - NUEVA PAN DE AZUCAR,C1 - C2,NUEVA MAITENCILLO - NUEVA PAN DE AZUCAR,INTERCHILE S.A.,500.0,212.39,EN OPERACION,2018-05-31,2023-04-20,HUASCO-ELQUI,-29.32784931699996,-71.09707386199995
78,905.0,NUEVA MAITENCILLO - NUEVA PAN DE AZUCAR,C1 - C2,NUEVA MAITENCILLO - NUEVA PAN DE AZUCAR,INTERCHILE S.A.,500.0,212.39,EN OPERACION,2018-05-31,2023-04-20,HUASCO-ELQUI,-29.327374198999962,-71.09600158299997
79,905.0,NUEVA MAITENCILLO - NUEVA PAN DE AZUCAR,C1 - C2,NUEVA MAITENCILLO - NUEVA PAN DE AZUCAR,INTERCHILE S.A.,500.0,212.39,EN OPERACION,2018-05-31,2023-04-20,HUASCO-ELQUI,-29.32532846299995,-71.09301130399996
80,905.0,NUEVA MAITENCILLO - NUEVA PAN DE AZUCAR,C1 - C2,NUEVA MAITENCILLO - NUEVA PAN DE AZUCAR,INTERCHILE S.A.,500.0,212.39,EN OPERACION,2018-05-31,2023-04-20,HUASCO-ELQUI,-29.320110906999957,-71.08685519599999
81,905.0,NUEVA MAITENCILLO - NUEVA PAN DE AZUCAR,C1 - C2,NUEVA MAITENCILLO - NUEVA PAN DE AZUCAR,INTERCHILE S.A.,500.0,212.39,EN OPERACION,2018-05-31,2023-04-20,HUASCO-ELQUI,-29.313163395999936,-71.07758062799996
82,905.0,NUEVA MAITENCILLO - NUEVA PAN DE AZUCAR,C1 - C2,NUEVA MAITENCILLO - NUEVA PAN DE AZUCAR,INTERCHILE S.A.,500.0,212.39,EN OPERACION,2018-05-31,2023-04-20,HUASCO-ELQUI,-29.300294976999965,-71.06139364799998
83,905.0,NUEVA MAITENCILLO - NUEVA PAN DE AZUCAR,C1 - C2,NUEVA MAITENCILLO - NUEVA PAN DE AZUCAR,INTERCHILE S.A.,500.0,212.39,EN OPERACION,2018-05-31,2023-04-20,HUASCO-ELQUI,-29.280879701999936,-71.03639905499995
84,905.0,NUEVA MAITENCILLO - NUEVA PAN DE AZUCAR,C1 - C2,NUEVA MAITENCILLO - NUEVA PAN DE AZUCAR,INTERCHILE S.A.,500.0,212.39,EN OPERACION,2018-05-31,2023-04-20,HUASCO-ELQUI,-29.267994328999976,-71.01960344999998
85,905.0,NUEVA MAITENCILLO - NUEVA PAN DE AZUCAR,C1 - C2,NUEVA MAITENCILLO - NUEVA PAN DE AZUCAR,INTERCHILE S.A.,500.0,212.39,EN OPERACION,2018-05-31,2023-04-20,HUASCO-ELQUI,-29.255984446999946,-71.01494911299994
86,905.0,NUEVA MAITENCILLO - NUEVA PAN DE AZUCAR,C1 - C2,NUEVA MAITENCILLO - NUEVA PAN DE AZUCAR,INTERCHILE S.A.,500.0,212.39,EN OPERACION,2018-05-31,2023-04-20,HUASCO-ELQUI,-29.24418463099994,-71.01205388699998
87,905.0,NUEVA MAITENCILLO - NUEVA PAN DE AZUCAR,C1 - C2,NUEVA MAITENCILLO - NUEVA PAN DE AZUCAR,INTERCHILE S.A.,500.0,212.39,EN OPERACION,2018-05-31,2023-04-20,HUASCO-ELQUI,-29.22808957199993,-71.01733224499998
88,905.0,NUEVA MAITENCILLO - NUEVA PAN DE AZUCAR,C1 - C2,NUEVA MAITENCILLO - NUEVA PAN DE AZUCAR,INTERCHILE S.A.,500.0,212.39,EN OPERACION,2018-05-31,2023-04-20,HUASCO-ELQUI,-29.22446237899993,-71.01831736799994
