Fecha y Hora;Nombre Central;Generación Real (MWh)
26-07-2023 3:00;PFV ANDES SOLAR II-B;0
26-07-2023 4:00;PFV ANDES SOLAR II-B;0
26-07-2023 5:00;PFV ANDES SOLAR II-B;0
26-07-2023 6:00;PFV ANDES SOLAR II-B;0
26-07-2023 7:00;PFV ANDES SOLAR II-B;0
26-07-2023 8:00;PFV ANDES SOLAR II-B;3
26-07-2023 9:00;PFV ANDES SOLAR II-B;27
26-07-2023 10:00;PFV ANDES SOLAR II-B;79
26-07-2023 11:00;PFV ANDES SOLAR II-B;95
26-07-2023 12:00;PFV ANDES SOLAR II-B;95
26-07-2023 13:00;PFV ANDES SOLAR II-B;9
26-07-2023 14:00;PFV ANDES SOLAR II-B;3
26-07-2023 15:00;PFV ANDES SOLAR II-B;3
26-07-2023 16:00;PFV ANDES SOLAR II-B;3
26-07-2023 17:00;PFV ANDES SOLAR II-B;12
26-07-2023 18:00;PFV ANDES SOLAR II-B;14
26-07-2023 19:00;PFV ANDES SOLAR II-B;94
26-07-2023 20:00;PFV ANDES SOLAR II-B;100
